Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative Target Mag,Relative Check1 Mag,Relative Check2 Mag,,rel V mag,B-V,ref mag real,real target mag B,real ch1 mag,real ch2 mag,real targ mag V,B-v real,B-Verror,SNR(Target),SNR(ref),Error on flux(target),error on flux(ref),error on ref (SIMBAD),Error on target mag B,,error on target mag V
2459632.428,170379,456.857,-13.0785,0.0029,31243.6,254.323,-11.2369,0.0088,24845.3,251.41,-10.9881,0.011,2696.16,202.573,-8.5769,0.0816,-1.8416,0.2488,2.66,,-1.4949,-0.3467,11.83,9.98836251,12.07879206,14.49003852,9.415087682,0.573274828,0.148052475,372.9372648,122.8500765,0.002912018,0.008840043,0.13,0.130332752,,0.070234672
2459632.429,184947,472.579,-13.1676,0.0028,32690.3,257.227,-11.286,0.0085,26513.1,254.662,-11.0587,0.0104,2838.24,203.032,-8.6326,0.0777,-1.8816,0.2273,2.6534,,-1.5178,-0.3638,,9.948429038,12.05739599,14.48342447,9.392241412,0.556187625,0.148022789,391.356789,127.0873586,0.002774961,0.008545303,,0.130310102,,0.070214125
2459632.43,207392,490.743,-13.292,0.0026,35183.9,271.275,-11.3659,0.0084,28389.9,258.406,-11.1329,0.0099,3116.44,216.366,-8.7341,0.0754,-1.9261,0.233,2.6318,,-1.55,-0.3761,,9.903879945,12.06295029,14.46171302,9.359952959,0.543926986,0.147995159,422.6081676,129.6982767,0.002569756,0.00837328,,0.130294725,,0.070184413
2459632.431,222726,506.087,-13.3694,0.0025,36608.6,273.807,-11.409,0.0081,29545.5,260.505,-11.1762,0.0096,3674.88,205.028,-8.9131,0.0606,-1.9604,0.2328,2.4959,,-1.5913,-0.3691,,9.869530508,12.06272944,14.3258499,9.318697632,0.550832876,0.147970822,440.0942921,133.7022063,0.002467653,0.008122529,,0.130276877,,0.070166228
2459632.433,116555,393.567,-12.6663,0.0037,18691.1,228.315,-10.6791,0.0133,15327.2,220.738,-10.4637,0.0156,1513.08,186.794,-7.9497,0.134,-1.9872,0.2154,2.7294,,-1.6255,-0.3617,,9.842759881,12.04543009,14.55943243,9.284476703,0.558283177,0.148375437,296.1503378,81.86540525,0.003667056,0.013265677,,0.130726529,,0.070184364
2459632.434,237620,525.36,-13.4397,0.0024,35800.7,281.955,-11.3847,0.0086,28945.2,249.764,-11.1539,0.0094,3403.48,204.474,-8.8298,0.0652,-2.055,0.2308,2.5549,,-1.6575,-0.3975,,9.775021317,12.06078741,14.38492079,9.252481777,0.52253954,0.147999482,452.2993757,126.9730985,0.002401065,0.008552993,,0.13030318,,0.070177831
2459632.435,235848,523.672,-13.4316,0.0024,34988,270.831,-11.3598,0.0084,27941.7,247.708,-11.1156,0.0096,3227.88,216.39,-8.7723,0.0728,-2.0718,0.2442,2.5875,,-1.6972,-0.3746,,9.7582173,12.07416573,14.41750434,9.212824505,0.545392795,0.147996824,450.3735162,129.1875745,0.002411332,0.008406381,,0.130293829,,0.070189586
2459632.436,244766,537.041,-13.4719,0.0024,34448.2,269.833,-11.3429,0.0085,28319.4,268.172,-11.1302,0.0103,3148.04,203.794,-8.7451,0.0703,-2.129,0.2127,2.5978,,-1.7211,-0.4079,,9.701038608,12.04270622,14.42781573,9.188899426,0.512139182,0.148000242,455.7678092,127.664889,0.002382792,0.008506646,,0.130299811,,0.070185688
2459632.437,247236,534.434,-13.4828,0.0023,34658.1,270.304,-11.3495,0.0085,28116.9,257.792,-11.1224,0.01,3589.04,193.363,-8.8874,0.0585,-2.1333,0.2271,2.4621,,-1.7435,-0.3898,,9.696732605,12.05709329,14.29206613,9.166512894,0.53021971,0.148000669,462.6127829,128.2189683,0.002347536,0.008469886,,0.130296776,,0.070192224
2459632.438,247298,529.862,-13.4831,0.0023,33603.2,258.846,-11.316,0.0084,27359.4,250.509,-11.0928,0.0099,3007.52,216.114,-8.6955,0.078,-2.1671,0.2232,2.6205,,-1.7543,-0.4128,,9.662900082,12.05318517,14.45043028,9.155645921,0.50725416,0.147998171,466.7215237,129.8192748,0.002326869,0.008365476,,0.13028966,,0.070200164
