Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative target magnitude,Relative check1 magnitude,Relative check2 magnitude,real ref mag,real targ mag,real ch1 mag,real ch 2 mag,,SNR(target),SNR(ref),error on flux(target),error on flux(ref),error on target mag,,ref mag (SIMBAD)
2459632.427,283539,582.075,-13.6315,0.0022,71556.3,348.274,-12.1366,0.0053,45473.8,307.857,-11.6444,0.0074,6891.8,233.808,-9.5958,0.0368,-1.4949,0.4922,2.5408,10.91,9.415087682,11.40221657,13.45078803,,487.1176395,205.4597817,0.002229441,0.005285706,0.070234672,,0.07
2459632.429,308147,602.764,-13.7219,0.0021,76147.3,354.148,-12.2041,0.005,47909.3,302.541,-11.701,0.0069,7322.04,250.19,-9.6616,0.0371,-1.5178,0.5031,2.5425,,9.392241412,11.41308671,13.45255603,,511.223298,215.0154738,0.002124316,0.005050799,0.070214125,,
2459632.43,342719,621.604,-13.8373,0.002,82209,354.833,-12.2873,0.0047,51974.6,309.228,-11.7895,0.0065,8296.52,227.801,-9.7972,0.0298,-1.55,0.4978,2.4901,,9.359952959,11.40782052,13.4000585,,551.3461947,231.6836371,0.001969724,0.004687426,0.070184413,,
2459632.431,373235,645.645,-13.93,0.0019,86190.9,352.889,-12.3387,0.0044,54736.2,313.661,-11.8457,0.0062,8733.76,228.979,-9.853,0.0285,-1.5913,0.493,2.4857,,9.318697632,11.40296693,13.39565041,,578.0808339,244.2436574,0.00187863,0.00444638,0.070166228,,
2459632.432,385815,659.612,-13.9659,0.0019,86331.6,376.219,-12.3404,0.0047,54306.9,313.097,-11.8371,0.0063,8728.84,240.778,-9.8524,0.0299,-1.6255,0.5033,2.488,,9.284476703,11.41328694,13.39803314,,584.9120392,229.4716641,0.001856689,0.00473261,0.070184364,,
2459632.433,394823,658.151,-13.991,0.0018,85781.8,367.537,-12.3335,0.0047,54069.9,312.597,-11.8324,0.0063,8527.76,223.336,-9.8271,0.0284,-1.6575,0.5011,2.5064,,9.252481777,11.41109897,13.41640046,,599.897288,233.3963655,0.00181031,0.004653029,0.070177831,,
2459632.434,389219,657.944,-13.9755,0.0018,81531.2,361.669,-12.2783,0.0048,51599.8,317.516,-11.7816,0.0067,8460.8,216.334,-9.8185,0.0278,-1.6972,0.4967,2.4598,,9.212824505,11.40668954,13.36978101,,591.5685833,225.430435,0.001835797,0.004817451,0.070189586,,
2459632.436,403838,673.135,-14.0155,0.0018,82749.8,363.468,-12.2944,0.0048,51885.1,309.042,-11.7876,0.0065,8300.32,227.864,-9.7977,0.0298,-1.7211,0.5068,2.4967,,9.188899426,11.41681074,13.40668029,,599.9361198,227.66736,0.001810193,0.004770117,0.070185688,,
2459632.437,403602,672.961,-14.0149,0.0018,81013.7,362.929,-12.2714,0.0049,51121.6,307.804,-11.7715,0.0065,7789.56,238.879,-9.7288,0.0333,-1.7435,0.4999,2.5426,,9.166512894,11.40988507,13.45261385,,599.7405496,223.2218974,0.001810783,0.004865114,0.070192224,,
2459632.438,391962,660.007,-13.9831,0.0018,77893.7,356.605,-12.2288,0.005,48410.8,321.999,-11.7124,0.0072,7818,238.938,-9.7327,0.0332,-1.7543,0.5164,2.4961,,9.155645921,11.42640019,13.40601667,,593.8755195,218.4313176,0.001828666,0.004971815,0.070200164,,
2459632.439,406928,671.249,-14.0238,0.0018,79972,359.547,-12.2573,0.0049,50844.1,307.394,-11.7656,0.0066,7465.84,238.2,-9.6827,0.0346,-1.7665,0.4917,2.5746,,9.143550958,11.40174348,13.4846482,,606.2251117,222.4243284,0.001791414,0.004882559,0.070192938,,
2459632.441,426932,685.988,-14.0759,0.0017,83142.2,356.11,-12.2996,0.0047,52367.3,310.567,-11.7977,0.0064,7802.08,238.845,-9.7305,0.0332,-1.7763,0.5019,2.5691,,9.13365701,11.41190332,13.47902778,,622.360741,233.473365,0.001744969,0.004651494,0.070176074,,
2459632.442,432664,694.238,-14.0904,0.0017,84614.1,365.906,-12.3186,0.0047,53839.1,321.067,-11.8277,0.0065,8309.92,239.906,-9.799,0.0313,-1.7718,0.4909,2.5196,,9.138229946,11.40086237,13.42961474,,623.2214313,231.2454565,0.001742559,0.004696308,0.070178998,,
2459632.443,427091,690.191,-14.0763,0.0018,83132.6,363.916,-12.2994,0.0048,52318.5,318.78,-11.7966,0.0066,8007.04,239.274,-9.7587,0.0324,-1.7769,0.5028,2.5407,,9.133127359,11.4127902,13.45074841,,618.8011724,228.4389804,0.001755006,0.004754005,0.070183193,,
2459632.444,417641,679.201,-14.052,0.0018,82322.8,354.922,-12.2888,0.0047,51563.4,308.521,-11.7809,0.0065,7985.32,242.259,-9.7557,0.0329,-1.7632,0.5079,2.5331,,9.146792516,11.41794647,13.44306952,,614.9004492,231.9461741,0.00176614,0.004682121,0.07017864,,
2459632.445,403768,668.891,-14.0153,0.0018,79504.3,350.893,-12.251,0.0048,49877.8,314.838,-11.7448,0.0069,7706.28,241.682,-9.7171,0.034,-1.7643,0.5062,2.5339,,9.145646804,11.41620832,13.44386458,,603.6379619,226.5770477,0.001799092,0.004793072,0.070186966,,
2459632.446,348403,630.616,-13.8552,0.002,68751.4,335.372,-12.0932,0.0053,44118.2,305.554,-11.6115,0.0075,6923.84,249.265,-9.6009,0.0391,-1.762,0.4817,2.4923,,9.147999151,11.3916594,13.40233631,,552.4804318,205.0004174,0.00196568,0.00529755,0.070227686,,
2459632.448,380069,659.805,-13.9497,0.0019,75788.2,353.641,-12.199,0.0051,47268.1,310.757,-11.6864,0.0071,7618.24,250.781,-9.7046,0.0357,-1.7507,0.5126,2.4944,,9.159347861,11.42258362,13.40436736,,576.0323126,214.3082957,0.001885311,0.005067466,0.070208501,,
2459632.449,396078,659.432,-13.9945,0.0018,79597.5,358.946,-12.2522,0.0049,50096.5,315.23,-11.7495,0.0068,7724.96,226.654,-9.7197,0.0319,-1.7423,0.5027,2.5325,,9.167796768,11.41273011,13.44250797,,600.635092,221.7534114,0.001808086,0.004897332,0.070194395,,
2459632.45,348395,626.153,-13.8552,0.002,70963.6,346.711,-12.1276,0.0053,44406,296.823,-11.6186,0.0073,6564.36,248.542,-9.543,0.0411,-1.7276,0.509,2.5846,,9.182409314,11.41898496,13.49460812,,556.4055431,204.6765173,0.001951814,0.005305934,0.070227933,,
